"","ClusterK2","ClusterK3","ClusterK4"
"GSM795008",1,2,2
"GSM795009",1,2,2
"GSM795010",1,3,3
"GSM795011",1,3,3
"GSM795012",1,2,2
"GSM795014",1,3,3
"GSM795015",2,1,1
"GSM795016",1,2,4
"GSM795017",2,1,1
"GSM795018",2,3,3
"GSM795019",1,3,3
"GSM795020",2,1,1
"GSM795021",1,3,3
"GSM795022",2,1,1
"GSM795023",1,3,3
"GSM795024",2,1,1
"GSM795025",1,3,3
"GSM795026",1,3,3
"GSM795027",1,2,3
"GSM795028",2,1,1
"GSM795029",1,3,4
"GSM795030",1,2,2
"GSM795031",1,2,4
"GSM795032",2,1,1
"GSM795033",1,2,2
"GSM795034",1,3,3
"GSM795035",2,3,3
"GSM795036",2,1,1
"GSM795037",1,2,4
"GSM795038",2,1,1
"GSM795039",2,3,3
"GSM795040",2,1,1
"GSM795041",2,2,2
"GSM795042",2,1,1
"GSM795043",1,2,2
"GSM795044",2,3,3
"GSM795045",1,2,2
"GSM795046",2,1,1
"GSM795047",1,3,3
"GSM795048",1,2,2
"GSM795049",1,3,3
"GSM795050",2,3,3
"GSM795051",2,1,1
"GSM795052",1,2,3
"GSM795053",2,1,1
"GSM795054",1,2,4
"GSM795055",2,3,3
"GSM795056",2,1,3
"GSM795057",2,1,1
"GSM795058",1,2,3
"GSM795059",2,1,1
"GSM795060",2,2,4
"GSM795061",1,3,3
"GSM795062",2,1,1
"GSM795063",2,3,3
"GSM795064",2,1,1
"GSM795065",1,2,3
"GSM795066",2,2,2
"GSM795067",2,1,1
"GSM795068",2,1,1
"GSM795069",2,1,1
"GSM795070",1,3,2
"GSM795071",1,2,2
"GSM795072",1,2,2
"GSM795073",1,3,3
"GSM795074",1,3,3
"GSM795075",1,3,3
"GSM795076",1,3,3
"GSM795077",1,3,3
"GSM795078",2,3,3
"GSM795079",2,1,1
"GSM795080",1,3,3
"GSM795081",2,1,1
"GSM795082",2,3,3
"GSM795083",1,2,2
"GSM795084",2,1,4
"GSM795085",2,1,1
"GSM795086",1,3,3
"GSM795087",1,2,2
"GSM795088",2,3,3
"GSM795089",2,2,2
"GSM795090",2,3,3
"GSM795091",1,2,3
"GSM795092",1,3,3
"GSM795093",2,2,2
"GSM795094",2,1,3
"GSM795095",1,3,3
"GSM795096",1,3,3
"GSM795097",1,3,3
"GSM795098",1,2,4
"GSM795099",1,3,4
"GSM795100",1,2,4
"GSM795101",1,2,4
"GSM795102",2,1,1
"GSM795103",2,3,3
"GSM795104",2,1,1
"GSM795105",2,1,4
"GSM795106",1,3,4
"GSM795107",1,3,3
"GSM795108",1,2,4
"GSM795109",1,3,3
"GSM795110",1,3,3
"GSM795111",1,2,2
"GSM795112",1,2,2
"GSM795113",1,2,3
"GSM795114",1,2,2
"GSM795115",1,3,3
"GSM795116",1,3,3
"GSM795117",1,2,4
"GSM795118",1,3,3
"GSM795119",1,3,3
"GSM795120",1,3,3
"GSM795121",1,3,3
"GSM795122",1,2,4
"GSM795123",1,3,3
"GSM795124",1,3,3
